Enero ,Max,Min,Media ,Febrero,Max,Min,Media,Marzo,Max,Min,Media ,Abril,Max,Min,Media,Mayo,Max,Min,Media ,Junio,Max,Min,Media,Julio,Max,Min,Media ,Agosto,Max,Min,Media ,Septiembre ,Max,Min,Media ,Octubre,Max,Min,Media ,Noviembre ,Max,Min,Media ,Diciembre,Max,Min,Media 
16/01/2016,18,8,13,16/02/2016,24,9,16.5,16/03/2016,28,15,21.5,16/04/2016,30,14,22,16/05/2016,25,14,19.5,16/06/2016,28,15,21.5,16/07/2016,25,12,18.5,16/08/2016,23,14,18.5,16/08/2016,25,14,19.5,16/10/2016,26,10,18,16/09/2016,15,11,13,16/12/2016,24,11,17.5
17/01/2016,24,6,15,17/02/2016,25,6,15.5,17/03/2016,28,14,21,17/04/2016,27,16,21.5,17/05/2016,28,15,21.5,17/06/2016,27,10,18.5,17/07/2016,25,13,19,17/08/2016,24,15,19.5,17/08/2016,27,14,20.5,17/10/2016,25,11,18,17/09/2016,21,9,15,17/12/2016,24,11,17.5
18/01/2016,23,5,14,18/02/2016,24,4,14,18/03/2016,26,13,19.5,18/04/2016,30,15,22.5,18/05/2016,28,16,22,18/06/2016,26,15,20.5,18/07/2016,26,12,19,18/08/2016,25,15,20,18/08/2016,27,14,20.5,18/10/2016,26,12,19,18/09/2016,22,10,16,18/12/2016,24,11,17.5
19/01/2016,19,4,11.5,19/02/2016,26,8,17,19/03/2016,24,13,18.5,19/04/2016,24,13,18.5,19/05/2016,29,14,21.5,19/06/2016,25,14,19.5,19/07/2016,24,13,18.5,19/08/2016,27,15,21,19/08/2016,25,13,19,19/10/2016,25,11,18,19/09/2016,14,10,12,19/12/2016,23,11,17
20/01/2016,21,8,14.5,20/02/2016,26,6,16,20/03/2016,22,11,16.5,20/04/2016,21,11,16,20/05/2016,31,14,22.5,20/06/2016,21,14,17.5,20/07/2016,23,14,18.5,20/08/2016,26,14,20,20/08/2016,25,12,18.5,20/10/2016,25,11,18,20/09/2016,18,8,13,20/12/2016,23,9,16
21/01/2016,23,6,14.5,21/02/2016,27,8,17.5,21/03/2016,19,9,14,21/04/2016,23,11,17,21/05/2016,29,15,22,21/06/2016,23,13,18,21/07/2016,23,13,18,21/08/2016,24,14,19,21/08/2016,22,12,17,21/10/2016,19,12,15.5,21/09/2016,22,5,13.5,21/12/2016,24,8,16
22/01/2016,23,7,15,22/02/2016,27,10,18.5,22/03/2016,24,10,17,22/04/2016,19,10,14.5,22/05/2016,30,17,23.5,22/06/2016,26,13,19.5,22/07/2016,24,13,18.5,22/08/2016,22,13,17.5,22/08/2016,24,14,19,22/10/2016,19,12,15.5,22/09/2016,23,8,15.5,22/12/2016,25,7,16
23/01/2016,20,4,12,23/02/2016,28,13,20.5,23/03/2016,25,11,18,23/04/2016,21,13,17,23/05/2016,30,16,23,23/06/2016,23,12,17.5,23/07/2016,26,14,20,23/08/2016,23,12,17.5,23/08/2016,25,11,18,23/10/2016,23,11,17,23/09/2016,2,7,4.5,23/12/2016,24,5,14.5
24/01/2016,21,3,12,24/02/2016,28,10,19,24/03/2016,27,11,19,24/04/2016,26,12,19,24/05/2016,31,17,24,24/06/2016,23,14,18.5,24/07/2016,24,14,19,24/08/2016,25,14,19.5,24/08/2016,23,11,17,24/10/2016,25,13,19,24/09/2016,21,8,14.5,24/12/2016,25,8,16.5
25/01/2016,23,7,15,25/02/2016,25,8,16.5,25/03/2016,26,10,18,25/04/2016,28,13,20.5,25/05/2016,29,14,21.5,25/06/2016,23,15,19,25/07/2016,27,14,20.5,25/08/2016,26,13,19.5,25/08/2016,25,12,18.5,25/10/2016,23,12,17.5,25/09/2016,22,7,14.5,25/12/2016,22,9,15.5
